632 contracts in generation 2 and 1 contract in generation 3:

mysql> select creatorAddress, count(*) as c from eth.contractCreatedContract where generation=2 group by creatorAddress order by c desc;
+--------------------------------------------+----+
| creatorAddress                             | c  |
| 0xa9edcaf5adeca807411bd058e3b50c3042787dec |  2 |
| 0xbbc567118797e7ad62c6729c558bb223cc2e2652 |  2 |
| 0x99bca9e3610020d11c7295d7f2bc02bc026f8496 |  2 |
| 0x727ae05bf4e24c9b4d1edd51a4874d4753920d63 |  2 |
| 0x44438b98199a9298e48dc36a626816ae35a81e58 |  2 |
| 0x9fd0fdd3131480a36d2f1da45e3988f2bc5ed373 |  2 |
| 0x5028c545a2ada087d54abd53391e0bc30825b3c5 |  2 |
| 0x692716401560d058ee3d129dd22cef28264b6675 |  2 |
| 0xf15d5ccf66f5047c72a483793e29956e1cefb7ce |  1 |
| 0x954db5eb1e013ed952264edd986c801bb0385597 |  1 |
| 0x8366128fbe3b889e719780697b2631d03ce54076 |  1 |
| 0x9dce986c6e9edc056d893be7cd952e285843cabc |  1 |
| 0x0db389efc623adabf28194aa0316d37de5c261c3 |  1 |
| 0xd5c9c56a0af0b289a1e725e27c36a10f5e21905f |  1 |
| 0xd095d8963aeada7b8270cdc5e55aa98e4fc5dc25 |  1 |
| 0xa09f9efcb07b455971aa8529f52441e06cfdb6a5 |  1 |
| 0x01a9e7b983ab03591f6173d32b024c12269b27d6 |  1 |
| 0x01901cff4c5a37806419b0ef010b1bb75fe640b2 |  1 |
| 0x1fd3fc7577fdee7767060da4e93c86124937c348 |  1 |
| 0xfb37f658d1309541f1119f444b67731291573c85 |  1 |
| 0x8b260db480b8f132468fc64bf21d4e415034840f |  1 |
| 0x58b4edbdcfa4d620ef966adbaa8f8812eb44c815 |  1 |
| 0x3098e12d435f38d481b82fb0357298f3b195dfb6 |  1 |
| 0xb99b58cf4fcc869137559aeb08af31d7ccfce3c4 |  1 |
| 0x0e5e5d99f1a13bae2756d1592e852dd7a086314b |  1 |
| 0x8d0592275633e66bc2c2ceff6b3ddbd79567ec6f |  1 |
| 0xda4c0f8f17d8dd536da23f8942758d6e7cb72d27 |  1 |
| 0x34f61f9c2f9b8d4abd2185f774b63b13d46dc6a0 |  1 |
| 0xe7d4205519a2aaa8f7e4adb9b228ef6a28615232 |  1 |
| 0xcbd2ae892e93cd6155a18f6fa040fa54fc7d6af8 |  1 |
| 0xf2d792a5032b97c46dc6df274034e1ac2a86e01f |  1 |
| 0xa239de9c7d1e164f06bed41b504437e021c68ed6 |  1 |
| 0xf9f5c0383e6067c818fac5eff7f78c6356b56dc0 |  1 |
| 0x27fa15b30af485e6ceb285271474bcdc3ca23917 |  1 |
| 0x9aa06ea89539aa3759595203c00c622780cd8ee0 |  1 |
| 0x87ddcab3a8bfb29f1fb6c558fe6c6ccf26950aad |  1 |
| 0x6b00a52fcfb50cc5c232df8a67f805081fcbc625 |  1 |
