most used contract hashes 12.09.2018:

mysql> select hash, occurrences from eth.contractCode order by occurrences desc limit 100;
+--------------------------------------------------------------------+------------+
| hash                                                               | occurrences |
| 0x71a6a361d92065d01c3ebdb6f1628c9fc010ab3438764e64df28d526ba9c68ff |       4740 |
| 0x390f3fdf149604bf396557cd03afc88bc315f0324345307d7dd3e91277a05494 |       4570 |
| 0x88514c15f3cdb60602cb7c790350241d5d515ce3fe596be3f5a0747b2b448ba6 |       4374 |
| 0x02ea6cc671acc5be8ee9e536d7bcf3ec9d7520dc608c18a750d27aac95fa2842 |       4364 |
| 0x3f816d32e0ba4b618eb903360d6e377b856ba68a2a253d526630d8a9479f5bd7 |       3720 |
| 0xa71703f77bb037cff0c822c8026f7c433e186bfe563fe4072660c06fa915da11 |       3693 |
| 0xc78be5c20567e6ec6afcd01f2a9bded2a75a02b670db59e31d13de8a6af1034f |       3693 |
| 0x55c6cddd3f9d7c712513bd120709a89bdf7028248ad1118bc8d56c16270493b8 |       3620 |
| 0x4082501439ef7b8d67443a975527ee1a40dfb02cf713b8f3f874ce6d3410ccf7 |       3620 |
| 0xe1eba6de58ed44641fc1b38ca9f1be3b37a4ff018b50bd864010958745dbc62d |       3590 |
| 0x14ba6d09311ec3cf0e86b6163f1b36937ed829aa5fb13246a6f5c55fd91a79b5 |       3349 |
| 0x18c3085b9ec0393bb6f93a9b15ab1d1cbcf8744d21e426e286a3b645cd0b23df |       3265 |
| 0xac50a1417816b7088198cdc472c13d9b7b8b68cd72ddd41509bf185494584cd1 |       3220 |
| 0x7866c0f1a681770440aee96a194ca7ea4fa526c3c51ec7d16b3963cbc3405a63 |       3189 |
| 0xcaa9fbe8b8c2fbf6f29d3442e4545d1619b8369a7091f7ac2b42c30599726e1c |       3072 |
| 0x8fc3e783bddf05541bf553f311a0d55e6f5ab419e431979b9771a69a5b8286db |       3020 |
| 0xc82fcf70e6992ac99a718ed063d747d9ec4d706f75ef889391ef9f808372928a |       2978 |
| 0xc8202e2bea8d5bb51346b638b26282f2a220fddcfc80058cf7539da0ec001c11 |       2831 |
| 0xc5cb5c20d85b273bfeeaef417ce8bce244989bf005938129cbd0397093904e06 |       2764 |
| 0x186fcf2ec9617137c15f1052537195ed628d46f9c56f41c03033da0e881e2d5a |       2673 |
| 0x07b9ec25cffd065915be3d7ee9c91ebe40ddf4f2a1113e412f6fa2013d998a09 |       2653 |
| 0x26d27b483b4540f8ae4f52c751620abb56714d15da017167212d6cfa5c9e5a20 |       2582 |
| 0x2bef4ab11f3db623851775fcc4f8b4ca9d531191375bdb453b09b8378d9db3a7 |       2557 |
| 0x59bb9cac653fa0954b9e68c731ec090b7b8fe5ce1ec0d02ec44d01392e4153f7 |       2426 |
| 0x50b59e5f2a0f48caf7ed5b0469fe02c8b7d1f9fe9e14cf0bf403ffa9a8884848 |       2412 |
| 0xfba1e6d384ba68e1a8e0fcaea545da8811f9b16e06caf553786b88daae4bfe4d |       2305 |
| 0x8f64a2217d4e302a3b35b008afa2cf505b866f230e963f40c896a9207339c1ec |       2260 |
| 0xecbef4e22900a2357d0cdc8edd8f78895f5e3138f93b4d6546698591d19d54a0 |       2243 |
| 0x04599c8ddc1b7c2ac06dab2962e2a75285bf839b4e13bc3663d1735f00d05b3a |       2233 |
| 0x3795c955783da58c98a7a190b8bbf44be52d43bfa0b2ba1b83f99c298565c3b7 |       2231 |
| 0x40c060a022a15adf2e4e34742705a4dc3360bd44fc67afee2234e1db0bade815 |       2227 |
| 0x427ecf94898810ff7fa8b7573e2e7d726ad44facd78470cf8ff930699328fcb9 |       2202 |
| 0x9b1694d9d737787cea818b0450779bf6aed9a28cdec0bf5ca1c2505f7d367b5b |       2165 |
| 0xab88eee8ad011c83e63f600236a1bfa4a4e909c00ef1fd1d9471bac5e5201b1b |       2154 |
| 0xae89c44c6e2131f28e252a2e076d93cf7309bd96c0fb6c903a07ae02e04a6958 |       2113 |
| 0x23b1ee0a1d90e2336a9c73b80d99bd1675eec942f4bec63dbdcfb18f1fcdbee5 |       2102 |
| 0x858edc8a3f308273e7197c144cdbc8132c304630d9ce4c95722bdd24a11a8ae9 |       2079 |
| 0x48c1f41c0d683e952590a5c345a328a80d2e5b95a8b93f72546b63bf25499f23 |       2070 |
| 0xb47ec119fe9d5c64da939459130811573d073aac395276a50d7f2a31cac4d17a |       2028 |
| 0x700a5073920db92aed8b6399debfa3c4b1ba1ff3dec9b24345c3c1fd15cb7d17 |       1981 |
| 0x99f42659155e8ed43dce952239b825dbeb6f9ecdbf301b0de120cdc8fc5094ad |       1974 |
