Zero-gas-price contract-creation-transactions (19.09.2018):

mysql> select gas, gasPrice, hash, txFrom from eth.contractTransaction order by gasPrice limit 50;
+---------+----------+--------------------------------------------------------------------+--------------------------------------------+
| gas     | gasPrice | hash                                                               | txFrom                                     |
| 0x265a8 | 0x0      | 0x00191abfddfd9ad3283c0d6e1991de778752cc7c3f1430e3848a3d29940089ab | 0x9dbdd749526d04a6d2b90e2d4a015eb60a6d1c00 |
| 0x2e24a | 0x0      | 0x001a475cb264450e83ec6f6433560ccac7360f03bbfc011b8d6c66193e0fb396 | 0xa82185fd4bacdefa4597f7dcb0fb7b6cc77f74ce |
| 0x29097 | 0x0      | 0x000067cd337dc627ddae4925245ca74a58e253385f25c8d3f0e74908a8ee72bb | 0x3dfde2a4b3b44d52cd5e4aac60a4e79724d0680a |
| 0x2b03b | 0x0      | 0x000358d4438c8d5b9abafada8089487a1fe8e05dd3ebb04c151ffdef2b5ee97a | 0x279675430c779debac6041924349c3a04db6251a |
| 0x2aefb | 0x0      | 0x0025876dd933e07da0fb60eb264f0d7f0deeb41c9651c1ed4db67077ed882011 | 0x1caa557ab8332a87fe431d0fc794630037d65afa |
| 0x299bc | 0x0      | 0x002f566443c9d7689301353e161a814fdb08900e7b75efdced4c669cbad1d1b1 | 0x8b864896f5952a08bc3c4d14a2742a7ac66bf195 |
| 0x2d1d3 | 0x0      | 0x002ca5fac89fc3ceea3e0d517c7418905b319b20f5a7a7c04048e6c2dc9c8dc4 | 0x7b662f60672faf2125e57e5c55d373b4b1d723ee |
| 0x25f59 | 0x0      | 0x001ae3b7487f0bc9d74625acb34feba7e8c5ac158f2409803961837ea9bcc6f5 | 0xba443ad6f21b306c81e7324b6f713f6a3f6a663d |
| 0x2bb3d | 0x0      | 0x00332b56a7f56f5830406403549865551f066c8540dc1afeb54770354f54bc58 | 0x7e7b8cf1d39296fdcab9ab539cf0516922d9ebda |
| 0x271f1 | 0x0      | 0x0014fcb783e40b22e9d2f833382659fcc3918d16904f366edee3eb21de48eb47 | 0x052dee7489bf9209c22b6db51ebd290b7ffe07f1 |
| 0x255a1 | 0x0      | 0x00281c0000dbbcb64700d1e55b09c5490b4a40bd16b7edf34fcc5875499d543b | 0x2922f420ebb81104d125e93f2df1fa8946d77485 |
| 0x24c16 | 0x0      | 0x00109ed6739c64af625e48f90f3a54afd5a75d793fef454817d25610c4e8a91d | 0xd0eaf0669f87e64edc19c84cf40f45b22361ab98 |
| 0x24b92 | 0x0      | 0x002316e6668a31f4abb3d9995020d3f9dc0b8071c5cce90aed0c26f7c8392156 | 0xdb87c0c82f71fac6dcb2dfe4cf0dbe3917194026 |
| 0x2920f | 0x0      | 0x000f2b8fbecae4fbacfbec0d9d8372e32082fa37b024c0c893b9d7e88049469e | 0x93b5b58606a074fd63f5b9b0d8b793ca8cecccec |
| 0x25f7f | 0x0      | 0x002a612f5e59b582e5f032ac2af2ed7c3411a49816827a418061f38e52f69df5 | 0xda475ac5303ffdf2f7493b0b7f64d1c9bce8e1dc |
| 0x7a120 | 0x0      | 0x002dbae1b3b598ef8e1e454fa6378f064ba18f86ed849e11860c4fa1fafbeca0 | 0x871fcfbb39e834cb599aa54b890ff45f0c712249 |
| 0xea60  | 0x0      | 0x00020af78e4f8d3f69c1dd72361ed2114b260cd2902ad7635666e6e157b6f02c | 0xaee0c989da4df259ae83f6f03bb12499c5b48821 |
+---------+----------+--------------------------------------------------------------------+--------------------------------------------+
